target_id	length	eff_length	est_counts	tpm
ENSMUST00000132100.2	472	423	0	0
ENSMUST00000185910.2	269	220	0	0
ENSMUST00000186289.2	216	167	0	0
ENSMUST00000188305.2	1102	1053	0	0
ENSMUST00000188753.2	612	563	0	0
ENSMUST00000187764.2	499	450	3	0.464307
ENSMUST00000061280.17	5232	5183	840.397	11.2927
ENSMUST00000182114.8	770	721	34.314	3.31461
ENSMUST00000182306.2	419	370	3.96054	0.745503
ENSMUST00000182388.8	701	652	0	0
ENSMUST00000182675.8	1153	1104	0	0
ENSMUST00000182823.2	2659	2610	280.334	7.48051
ENSMUST00000182892.8	4207	4158	60.9051	1.02015
ENSMUST00000183204.2	3986	3937	24.0901	0.426157
ENSMUST00000181554.2	1193	1144	1.04243	0.0634623
ENSMUST00000193106.6	256	207	3.87062	1.30228
ENSMUST00000193428.2	2703	2654	1	0.0262419
ENSMUST00000193732.2	631	582	1.08696	0.130073
ENSMUST00000194886.2	2596	2547	0	0
ENSMUST00000027542.13	3390	3341	0	0
ENSMUST00000112701.8	4945	4896	0	0
ENSMUST00000129923.2	1409	1360	0	0
ENSMUST00000131464.8	4211	4162	0	0
ENSMUST00000134301.2	677	628	0	0
ENSMUST00000137092.8	2681	2632	0	0
ENSMUST00000145188.2	714	665	0	0
ENSMUST00000146282.3	4776	4727	0	0
ENSMUST00000172005.8	3353	3304	0	0
ENSMUST00000039725.12	7796	7747	22.4383	0.201722
ENSMUST00000191680.2	738	689	2.00439	0.202609
ENSMUST00000192378.2	424	375	0	0
ENSMUST00000193610.2	517	468	0	0
ENSMUST00000193822.6	726	677	1.03915	0.106902
ENSMUST00000193858.2	600	551	0	0
ENSMUST00000194306.6	968	919	0	0
ENSMUST00000194636.2	739	690	0.528968	0.053392
ENSMUST00000194816.2	466	417	1.47253	0.245937
ENSMUST00000195196.6	488	439	0	0
ENSMUST00000194391.2	1329	1280	0	0
ENSMUST00000201297.2	1789	1740	0	0
ENSMUST00000076997.13	1921	1872	94.5051	3.51598
ENSMUST00000126008.8	4620	4571	32.7121	0.498418
ENSMUST00000128261.2	449	400	0	0
ENSMUST00000134860.8	355	306	3.24348	0.738219
ENSMUST00000136179.8	896	847	0	0
ENSMUST00000136704.2	471	422	0	0
ENSMUST00000139451.8	854	805	36.5392	3.16126
ENSMUST00000153317.6	374	325	0	0
ENSMUST00000094626.5	3914	3865	0	0
ENSMUST00000187555.2	787	738	0	0
ENSMUST00000189363.2	581	532	0	0
ENSMUST00000035462.7	5759	5710	33	0.402508
ENSMUST00000186365.2	3063	3014	0	0
ENSMUST00000189370.2	622	573	0	0
ENSMUST00000189731.2	806	757	0	0
ENSMUST00000190085.2	571	522	0	0
ENSMUST00000180837.2	1009	960	1.02051	0.0740357
ENSMUST00000037796.14	1539	1490	189.691	8.86658
ENSMUST00000113584.8	1692	1643	232.631	9.86112
ENSMUST00000124539.2	790	741	51.0547	4.79859
ENSMUST00000131545.8	798	749	0	0
ENSMUST00000132291.8	549	500	10.9102	1.51971
ENSMUST00000133418.8	918	869	9.0983	0.729183
ENSMUST00000135453.2	554	505	55.3308	7.63083
ENSMUST00000140287.8	828	779	35.3683	3.16208
ENSMUST00000141124.2	564	515	1.9474	0.263357
ENSMUST00000143730.8	650	601	0	0
ENSMUST00000144874.8	688	639	71.6615	7.81054
ENSMUST00000145166.8	647	598	0	0
ENSMUST00000188097.2	776	727	3.30688	0.316796
ENSMUST00000065967.14	3557	3508	0	0
ENSMUST00000111166.2	1370	1321	0	0
ENSMUST00000111167.2	1861	1812	0	0
ENSMUST00000125404.8	3283	3234	0	0
ENSMUST00000144340.8	4215	4166	0	0
ENSMUST00000156184.2	3274	3225	1	0.0215957
ENSMUST00000104983.2	1338	1289	0	0
ENSMUST00000193484.2	3557	3508	0	0
ENSMUST00000194241.2	959	910	0	0
ENSMUST00000037708.10	2464	2415	0	0
ENSMUST00000113577.8	2667	2618	0	0
ENSMUST00000043725.9	10945	10896	1.00107	0.00639873
ENSMUST00000115484.9	1107	1058	0	0
ENSMUST00000115488.3	1554	1505	0	0
ENSMUST00000126083.2	661	612	0	0
ENSMUST00000132064.8	4165	4116	0	0
ENSMUST00000134075.8	2944	2895	0	0
ENSMUST00000135046.4	578	529	0	0
ENSMUST00000140295.8	4887	4838	0	0
ENSMUST00000140302.8	4056	4007	0	0
ENSMUST00000144593.8	3497	3448	0	0
ENSMUST00000191683.6	4510	4461	0	0
ENSMUST00000194098.2	2113	2064	0	0
ENSMUST00000179777.3	3030	2981	0	0
ENSMUST00000204773.2	618	569	0	0
ENSMUST00000186341.2	673	624	0	0
ENSMUST00000188801.2	2879	2830	0	0
ENSMUST00000187455.2	1491	1442	0	0
ENSMUST00000191265.2	2630	2581	0	0
ENSMUST00000072079.9	2048	1999	889	30.9731
ENSMUST00000185381.2	1794	1745	0	0
ENSMUST00000186264.2	4012	3963	0	0
ENSMUST00000027623.9	7063	7014	630.658	6.26216
ENSMUST00000186163.2	1059	1010	15.8543	1.09326
ENSMUST00000186608.7	2997	2948	559.935	13.2284
ENSMUST00000188512.7	656	607	198.031	22.7217
ENSMUST00000188882.2	465	416	109.347	18.3066
ENSMUST00000189768.7	617	568	0	0
ENSMUST00000027626.13	1889	1840	927.077	35.0909
ENSMUST00000112688.10	849	800	52.9231	4.60735
ENSMUST00000161495.2	357	308	0	0
ENSMUST00000190194.2	2166	2117	0	0
ENSMUST00000027044.15	2022	1973	0	0
ENSMUST00000130927.8	459	410	0	0
ENSMUST00000144177.8	3239	3190	1.98032	0.0432355
ENSMUST00000186467.2	466	417	0	0
ENSMUST00000190654.2	2021	1972	5.01968	0.177282
ENSMUST00000088666.4	3256	3207	0	0
ENSMUST00000191209.2	1067	1018	0	0
ENSMUST00000057037.13	6930	6881	23.9249	0.242156
ENSMUST00000192643.2	523	474	0	0
ENSMUST00000192664.6	4031	3982	0	0
ENSMUST00000192927.6	3905	3856	38.345	0.692576
ENSMUST00000192961.6	2708	2659	0	0
ENSMUST00000192991.2	1571	1522	8.19613	0.375051
ENSMUST00000193098.2	5529	5480	3.42454	0.0435229
ENSMUST00000193765.2	2623	2574	1.02463	0.027724
ENSMUST00000194263.3	440	391	4.74647	0.845455
ENSMUST00000194371.2	473	424	1.0947	0.179814
ENSMUST00000194489.6	3051	3002	0	0
ENSMUST00000194727.6	6784	6735	4.26357e-08	4.40891e-10
ENSMUST00000194984.2	1256	1207	4.64257	0.267884
ENSMUST00000195433.6	6299	6250	14.3129	0.159494
ENSMUST00000195717.6	6967	6918	68.4477	0.689088
ENSMUST00000195463.2	428	379	0	0
ENSMUST00000191460.2	687	638	0	0
ENSMUST00000088658.11	4980	4931	5.94813	0.0840121
ENSMUST00000115468.9	2493	2444	3.84831	0.109664
ENSMUST00000160022.2	543	494	0	0
ENSMUST00000160451.2	695	646	0.20356	0.021946
ENSMUST00000188212.2	799	750	0	0
ENSMUST00000057438.7	9749	9700	2858.3	20.5226
ENSMUST00000087933.10	4649	4600	435.799	6.59819
ENSMUST00000185579.7	450	401	5.91365	1.02709
ENSMUST00000186028.2	1389	1340	0	0
ENSMUST00000186441.2	691	642	0	0
ENSMUST00000187115.2	847	798	17.2667	1.50696
ENSMUST00000188302.7	3075	3026	0.0006635	1.5271e-05
ENSMUST00000188313.7	4631	4582	1848.92	28.1034
ENSMUST00000189388.7	2904	2855	0	0
ENSMUST00000190207.2	2420	2371	3.82539	0.112368
ENSMUST00000190401.7	4994	4945	17.4075	0.245169
ENSMUST00000027785.15	2776	2727	298.974	7.63561
ENSMUST00000056773.15	1551	1502	2.65367	0.123048
ENSMUST00000123409.8	2891	2842	0	0
ENSMUST00000133305.8	2971	2922	30.3728	0.723937
ENSMUST00000139589.2	659	610	0	0
ENSMUST00000150429.8	1398	1349	0	0
ENSMUST00000061421.4	1086	1037	0	0
ENSMUST00000159881.2	3482	3433	2	0.0405744
ENSMUST00000162750.2	593	544	0	0
ENSMUST00000150600.2	1430	1381	2	0.100863
ENSMUST00000168641.2	5985	5936	5.31016	0.0623031
