target_id	length	eff_length	est_counts	tpm
ENSMUST00000132100.2	472	423	0	0
ENSMUST00000185910.2	269	220	0	0
ENSMUST00000186289.2	216	167	0	0
ENSMUST00000188305.2	1102	1053	0	0
ENSMUST00000188753.2	612	563	2	0.285017
ENSMUST00000187764.2	499	450	1	0.178294
ENSMUST00000061280.17	5232	5183	1063.87	16.4685
ENSMUST00000182114.8	770	721	7.28526	0.810698
ENSMUST00000182306.2	419	370	0	0
ENSMUST00000182388.8	701	652	5.93778	0.730677
ENSMUST00000182675.8	1153	1104	0	0
ENSMUST00000182823.2	2659	2610	323.433	9.94243
ENSMUST00000182892.8	4207	4158	136.322	2.63045
ENSMUST00000183204.2	3986	3937	0.156553	0.00319039
ENSMUST00000181554.2	1193	1144	1	0.0701331
ENSMUST00000193106.6	256	207	1	0.387595
ENSMUST00000193428.2	2703	2654	0	0
ENSMUST00000193732.2	631	582	0	0
ENSMUST00000194886.2	2596	2547	3.35625	0.105724
ENSMUST00000027542.13	3390	3341	0	0
ENSMUST00000112701.8	4945	4896	0	0
ENSMUST00000129923.2	1409	1360	0	0
ENSMUST00000131464.8	4211	4162	0	0
ENSMUST00000134301.2	677	628	0	0
ENSMUST00000137092.8	2681	2632	0	0
ENSMUST00000145188.2	714	665	0	0
ENSMUST00000146282.3	4776	4727	0	0
ENSMUST00000172005.8	3353	3304	0	0
ENSMUST00000039725.12	7796	7747	86.1654	0.892377
ENSMUST00000191680.2	738	689	19.3366	2.2517
ENSMUST00000192378.2	424	375	0	0
ENSMUST00000193610.2	517	468	17.353	2.97494
ENSMUST00000193822.6	726	677	0	0
ENSMUST00000193858.2	600	551	6.4777	0.943232
ENSMUST00000194306.6	968	919	20.3287	1.77477
ENSMUST00000194636.2	739	690	7.35725	0.85549
ENSMUST00000194816.2	466	417	0	0
ENSMUST00000195196.6	488	439	0	0
ENSMUST00000194391.2	1329	1280	0	0
ENSMUST00000201297.2	1789	1740	0	0
ENSMUST00000076997.13	1921	1872	115.957	4.9698
ENSMUST00000126008.8	4620	4571	17.2753	0.303223
ENSMUST00000128261.2	449	400	0	0
ENSMUST00000134860.8	355	306	0	0
ENSMUST00000136179.8	896	847	0	0
ENSMUST00000136704.2	471	422	0	0
ENSMUST00000139451.8	854	805	19.768	1.97022
ENSMUST00000153317.6	374	325	0	0
ENSMUST00000094626.5	3914	3865	0	0
ENSMUST00000187555.2	787	738	0	0
ENSMUST00000189363.2	581	532	0	0
ENSMUST00000035462.7	5759	5710	60.7692	0.85388
ENSMUST00000186365.2	3063	3014	4.52221	0.12038
ENSMUST00000189370.2	622	573	2.70856	0.379256
ENSMUST00000189731.2	806	757	0	0
ENSMUST00000190085.2	571	522	0	0
ENSMUST00000180837.2	1009	960	0	0
ENSMUST00000037796.14	1539	1490	222.096	11.9592
ENSMUST00000113584.8	1692	1643	236.275	11.538
ENSMUST00000124539.2	790	741	23.1382	2.5053
ENSMUST00000131545.8	798	749	2.32717e-06	2.49284e-07
ENSMUST00000132291.8	549	500	2.90034	0.465402
ENSMUST00000133418.8	918	869	0	0
ENSMUST00000135453.2	554	505	86.1741	13.691
ENSMUST00000140287.8	828	779	36.8752	3.79792
ENSMUST00000141124.2	564	515	19.6274	3.05777
ENSMUST00000143730.8	650	601	0	0
ENSMUST00000144874.8	688	639	58.1522	7.30154
ENSMUST00000145166.8	647	598	0	0
ENSMUST00000188097.2	776	727	88.7615	9.79578
ENSMUST00000065967.14	3557	3508	0	0
ENSMUST00000111166.2	1370	1321	0	0
ENSMUST00000111167.2	1861	1812	0	0
ENSMUST00000125404.8	3283	3234	0	0
ENSMUST00000144340.8	4215	4166	1	0.0192588
ENSMUST00000156184.2	3274	3225	0	0
ENSMUST00000104983.2	1338	1289	0	0
ENSMUST00000193484.2	3557	3508	0	0
ENSMUST00000194241.2	959	910	0	0
ENSMUST00000037708.10	2464	2415	1	0.0332225
ENSMUST00000113577.8	2667	2618	0	0
ENSMUST00000043725.9	10945	10896	0	0
ENSMUST00000115484.9	1107	1058	0	0
ENSMUST00000115488.3	1554	1505	0	0
ENSMUST00000126083.2	661	612	0	0
ENSMUST00000132064.8	4165	4116	0	0
ENSMUST00000134075.8	2944	2895	0	0
ENSMUST00000135046.4	578	529	0	0
ENSMUST00000140295.8	4887	4838	0	0
ENSMUST00000140302.8	4056	4007	0	0
ENSMUST00000144593.8	3497	3448	0	0
ENSMUST00000191683.6	4510	4461	0	0
ENSMUST00000194098.2	2113	2064	1	0.0388722
ENSMUST00000179777.3	3030	2981	0	0
ENSMUST00000204773.2	618	569	0	0
ENSMUST00000186341.2	673	624	0	0
ENSMUST00000188801.2	2879	2830	0	0
ENSMUST00000187455.2	1491	1442	0	0
ENSMUST00000191265.2	2630	2581	0	0
ENSMUST00000072079.9	2048	1999	668	26.811
ENSMUST00000185381.2	1794	1745	0	0
ENSMUST00000186264.2	4012	3963	2	0.0404907
ENSMUST00000027623.9	7063	7014	904.353	10.3448
ENSMUST00000186163.2	1059	1010	12.3699	0.98264
ENSMUST00000186608.7	2997	2948	599.939	16.3278
ENSMUST00000188512.7	656	607	208.877	27.609
ENSMUST00000188882.2	465	416	113.095	21.8121
ENSMUST00000189768.7	617	568	0	0
ENSMUST00000027626.13	1889	1840	943	41.119
ENSMUST00000112688.10	849	800	85	8.52468
ENSMUST00000161495.2	357	308	0	0
ENSMUST00000190194.2	2166	2117	0	0
ENSMUST00000027044.15	2022	1973	6	0.243991
ENSMUST00000130927.8	459	410	0	0
ENSMUST00000144177.8	3239	3190	0	0
ENSMUST00000186467.2	466	417	0	0
ENSMUST00000190654.2	2021	1972	0	0
ENSMUST00000088666.4	3256	3207	0	0
ENSMUST00000191209.2	1067	1018	0	0
ENSMUST00000057037.13	6930	6881	0	0
ENSMUST00000192643.2	523	474	0	0
ENSMUST00000192664.6	4031	3982	16.8492	0.339491
ENSMUST00000192927.6	3905	3856	83.0267	1.72755
ENSMUST00000192961.6	2708	2659	1.2207	0.0368333
ENSMUST00000192991.2	1571	1522	21.2078	1.11797
ENSMUST00000193098.2	5529	5480	4.54241	0.0665051
ENSMUST00000193765.2	2623	2574	1.03069	0.0321269
ENSMUST00000194263.3	440	391	0	0
ENSMUST00000194371.2	473	424	0	0
ENSMUST00000194489.6	3051	3002	0	0
ENSMUST00000194727.6	6784	6735	0.026286	0.000313138
ENSMUST00000194984.2	1256	1207	0.642249	0.0426919
ENSMUST00000195433.6	6299	6250	29.9944	0.385043
ENSMUST00000195717.6	6967	6918	180.663	2.09525
ENSMUST00000195463.2	428	379	0	0
ENSMUST00000191460.2	687	638	0	0
ENSMUST00000088658.11	4980	4931	9.91355	0.161303
ENSMUST00000115468.9	2493	2444	2.30014	0.0755097
ENSMUST00000160022.2	543	494	0	0
ENSMUST00000160451.2	695	646	0	0
ENSMUST00000188212.2	799	750	1.7863	0.191092
ENSMUST00000057438.7	9749	9700	1785.06	14.7649
ENSMUST00000087933.10	4649	4600	626.551	10.9282
ENSMUST00000185579.7	450	401	7.75042	1.55071
ENSMUST00000186028.2	1389	1340	0	0
ENSMUST00000186441.2	691	642	0	0
ENSMUST00000187115.2	847	798	30.2093	3.03729
ENSMUST00000188302.7	3075	3026	0	0
ENSMUST00000188313.7	4631	4582	1528.26	26.7604
ENSMUST00000189388.7	2904	2855	0	0
ENSMUST00000190207.2	2420	2371	8.76419	0.296571
ENSMUST00000190401.7	4994	4945	17.1446	0.27817
ENSMUST00000027785.15	2776	2727	345.079	10.1527
ENSMUST00000056773.15	1551	1502	3.84288	0.205275
ENSMUST00000123409.8	2891	2842	0	0
ENSMUST00000133305.8	2971	2922	4.07778	0.111968
ENSMUST00000139589.2	659	610	0	0
ENSMUST00000150429.8	1398	1349	0	0
ENSMUST00000061421.4	1086	1037	0	0
ENSMUST00000159881.2	3482	3433	1	0.0233709
ENSMUST00000162750.2	593	544	0	0
ENSMUST00000150600.2	1430	1381	1	0.0580972
ENSMUST00000168641.2	5985	5936	4.15508	0.0561609
ENSMUST00000238662.2	20036	19987	2.84492	0.0114201
