target_id	length	eff_length	est_counts	tpm
ENSMUST00000132100.2	472	423	0	0
ENSMUST00000185910.2	269	220	0	0
ENSMUST00000186289.2	216	167	0	0
ENSMUST00000188305.2	1102	1053	0	0
ENSMUST00000188753.2	612	563	0	0
ENSMUST00000187764.2	499	450	2	0.329898
ENSMUST00000061280.17	5232	5183	876.291	12.5496
ENSMUST00000182114.8	770	721	2.97165	0.305932
ENSMUST00000182306.2	419	370	0	0
ENSMUST00000182388.8	701	652	6.70237	0.763032
ENSMUST00000182675.8	1153	1104	5.87933	0.395294
ENSMUST00000182823.2	2659	2610	233.754	6.64783
ENSMUST00000182892.8	4207	4158	111.465	1.98983
ENSMUST00000183204.2	3986	3937	30.9369	0.583274
ENSMUST00000181554.2	1193	1144	0	0
ENSMUST00000193106.6	256	207	4	1.43434
ENSMUST00000193428.2	2703	2654	0	0
ENSMUST00000193732.2	631	582	0	0
ENSMUST00000194886.2	2596	2547	2.15594	0.0628304
ENSMUST00000027542.13	3390	3341	0	0
ENSMUST00000112701.8	4945	4896	0	0
ENSMUST00000129923.2	1409	1360	0	0
ENSMUST00000131464.8	4211	4162	0	0
ENSMUST00000134301.2	677	628	0	0
ENSMUST00000137092.8	2681	2632	0	0
ENSMUST00000145188.2	714	665	0	0
ENSMUST00000146282.3	4776	4727	0	0
ENSMUST00000172005.8	3353	3304	0	0
ENSMUST00000039725.12	7796	7747	145.968	1.39857
ENSMUST00000191680.2	738	689	28.018	3.01842
ENSMUST00000192378.2	424	375	0	0
ENSMUST00000193610.2	517	468	11.1802	1.77322
ENSMUST00000193822.6	726	677	0	0
ENSMUST00000193858.2	600	551	0	0
ENSMUST00000194306.6	968	919	14.4707	1.16879
ENSMUST00000194636.2	739	690	23.1733	2.49288
ENSMUST00000194816.2	466	417	0	0
ENSMUST00000195196.6	488	439	0	0
ENSMUST00000194391.2	1329	1280	1	0.0579898
ENSMUST00000201297.2	1789	1740	0	0
ENSMUST00000076997.13	1921	1872	126.777	5.02686
ENSMUST00000126008.8	4620	4571	29.6186	0.480966
ENSMUST00000128261.2	449	400	0	0
ENSMUST00000134860.8	355	306	3.26101	0.791029
ENSMUST00000136179.8	896	847	4.0499	0.354913
ENSMUST00000136704.2	471	422	0.33453	0.0588416
ENSMUST00000139451.8	854	805	11.9587	1.10268
ENSMUST00000153317.6	374	325	0	0
ENSMUST00000094626.5	3914	3865	0	0
ENSMUST00000187555.2	787	738	0	0
ENSMUST00000189363.2	581	532	0	0
ENSMUST00000035462.7	5759	5710	105.217	1.36776
ENSMUST00000186365.2	3063	3014	9.76148	0.2404
ENSMUST00000189370.2	622	573	2.02159	0.261878
ENSMUST00000189731.2	806	757	0	0
ENSMUST00000190085.2	571	522	0	0
ENSMUST00000180837.2	1009	960	0	0
ENSMUST00000037796.14	1539	1490	176.049	8.77021
ENSMUST00000113584.8	1692	1643	206.06	9.30934
ENSMUST00000124539.2	790	741	23.6586	2.36991
ENSMUST00000131545.8	798	749	18.4888	1.83227
ENSMUST00000132291.8	549	500	9.32731	1.38468
ENSMUST00000133418.8	918	869	0	0
ENSMUST00000135453.2	554	505	98.7327	14.5121
ENSMUST00000140287.8	828	779	32.6186	3.10806
ENSMUST00000141124.2	564	515	6.20917	0.894928
ENSMUST00000143730.8	650	601	0	0
ENSMUST00000144874.8	688	639	34.7314	4.03444
ENSMUST00000145166.8	647	598	0	0
ENSMUST00000188097.2	776	727	133.124	13.592
ENSMUST00000065967.14	3557	3508	0	0
ENSMUST00000111166.2	1370	1321	0	0
ENSMUST00000111167.2	1861	1812	0	0
ENSMUST00000125404.8	3283	3234	0	0
ENSMUST00000144340.8	4215	4166	0	0
ENSMUST00000156184.2	3274	3225	0	0
ENSMUST00000104983.2	1338	1289	0	0
ENSMUST00000193484.2	3557	3508	0	0
ENSMUST00000194241.2	959	910	0	0
ENSMUST00000037708.10	2464	2415	2	0.0614716
ENSMUST00000113577.8	2667	2618	0	0
ENSMUST00000043725.9	10945	10896	0	0
ENSMUST00000115484.9	1107	1058	0	0
ENSMUST00000115488.3	1554	1505	0	0
ENSMUST00000126083.2	661	612	0	0
ENSMUST00000132064.8	4165	4116	0	0
ENSMUST00000134075.8	2944	2895	0	0
ENSMUST00000135046.4	578	529	0	0
ENSMUST00000140295.8	4887	4838	0	0
ENSMUST00000140302.8	4056	4007	0	0
ENSMUST00000144593.8	3497	3448	0	0
ENSMUST00000191683.6	4510	4461	0	0
ENSMUST00000194098.2	2113	2064	0	0
ENSMUST00000179777.3	3030	2981	0	0
ENSMUST00000204773.2	618	569	0	0
ENSMUST00000186341.2	673	624	0	0
ENSMUST00000188801.2	2879	2830	0	0
ENSMUST00000187455.2	1491	1442	0	0
ENSMUST00000191265.2	2630	2581	0	0
ENSMUST00000072079.9	2048	1999	674	25.027
ENSMUST00000185381.2	1794	1745	0	0
ENSMUST00000186264.2	4012	3963	0	0
ENSMUST00000027623.9	7063	7014	866.515	9.17006
ENSMUST00000186163.2	1059	1010	12.5654	0.923453
ENSMUST00000186608.7	2997	2948	621.016	15.6364
ENSMUST00000188512.7	656	607	225.925	27.6272
ENSMUST00000188882.2	465	416	123.347	22.0089
ENSMUST00000189768.7	617	568	0	0
ENSMUST00000027626.13	1889	1840	947.628	38.228
ENSMUST00000112688.10	849	800	97.1455	9.01352
ENSMUST00000161495.2	357	308	2.22622	0.536512
ENSMUST00000190194.2	2166	2117	0	0
ENSMUST00000027044.15	2022	1973	7.25476	0.272934
ENSMUST00000130927.8	459	410	0	0
ENSMUST00000144177.8	3239	3190	2.6212	0.0609917
ENSMUST00000186467.2	466	417	1.12404	0.200081
ENSMUST00000190654.2	2021	1972	0	0
ENSMUST00000088666.4	3256	3207	0	0
ENSMUST00000191209.2	1067	1018	0	0
ENSMUST00000057037.13	6930	6881	4.82012e-05	5.19957e-07
ENSMUST00000192643.2	523	474	0	0
ENSMUST00000192664.6	4031	3982	0	0
ENSMUST00000192927.6	3905	3856	78.9389	1.51955
ENSMUST00000192961.6	2708	2659	6.14305	0.171485
ENSMUST00000192991.2	1571	1522	1.51405	0.0738394
ENSMUST00000193098.2	5529	5480	4.70933	0.0637882
ENSMUST00000193765.2	2623	2574	3.16636	0.091309
ENSMUST00000194263.3	440	391	0	0
ENSMUST00000194371.2	473	424	0	0
ENSMUST00000194489.6	3051	3002	0	0
ENSMUST00000194727.6	6784	6735	4.31954e-06	4.7606e-08
ENSMUST00000194984.2	1256	1207	5.85797	0.360248
ENSMUST00000195433.6	6299	6250	31.328	0.372062
ENSMUST00000195717.6	6967	6918	236.666	2.53931
ENSMUST00000195463.2	428	379	0	0
ENSMUST00000191460.2	687	638	0	0
ENSMUST00000088658.11	4980	4931	11.8963	0.179076
ENSMUST00000115468.9	2493	2444	2.25041	0.0683473
ENSMUST00000160022.2	543	494	1.35333	0.203348
ENSMUST00000160451.2	695	646	0	0
ENSMUST00000188212.2	799	750	3.5	0.346392
ENSMUST00000057438.7	9749	9700	1936.21	14.8164
ENSMUST00000087933.10	4649	4600	958.115	15.4604
ENSMUST00000185579.7	450	401	12.0522	2.23091
ENSMUST00000186028.2	1389	1340	0	0
ENSMUST00000186441.2	691	642	0	0
ENSMUST00000187115.2	847	798	22.7936	2.12017
ENSMUST00000188302.7	3075	3026	78.1267	1.91643
ENSMUST00000188313.7	4631	4582	1694.14	27.4445
ENSMUST00000189388.7	2904	2855	0	0
ENSMUST00000190207.2	2420	2371	14.2451	0.445958
ENSMUST00000190401.7	4994	4945	19.8745	0.298327
ENSMUST00000027785.15	2776	2727	307.641	8.37377
ENSMUST00000056773.15	1551	1502	2.7775	0.137261
ENSMUST00000123409.8	2891	2842	0	0
ENSMUST00000133305.8	2971	2922	17.5811	0.44661
ENSMUST00000139589.2	659	610	0	0
ENSMUST00000150429.8	1398	1349	0	0
ENSMUST00000061421.4	1086	1037	0	0
ENSMUST00000159881.2	3482	3433	3	0.0648648
ENSMUST00000162750.2	593	544	0	0
ENSMUST00000150600.2	1430	1381	0	0
ENSMUST00000168641.2	5985	5936	0	0
